timestamp;window_ts;tabs_open;tabs_grouped;tabs_ungrouped;switches_within;switches_between;switches_from;switches_to;switches_outside
2020-05-29 17:10:05,256;5302549;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:10:19,394;5302549;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:15:04,582;5302550;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:15:10,814;5302550;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:20:10,140;5302551;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:20:16,373;5302551;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:25:01,559;5302552;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:25:15,697;5302552;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:30:00,889;5302553;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:30:07,116;5302553;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:35:06,447;5302554;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:35:12,673;5302554;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:40:12,006;5302555;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:40:18,230;5302555;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:45:03,418;5302556;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:45:17,565;5302556;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:50:02,752;5302557;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:50:08,975;5302557;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:55:08,310;5302558;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:55:14,533;5302558;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:00:13,867;5302559;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:00:20,091;5302559;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:05:05,278;5302560;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:05:19,425;5302560;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:10:04,614;5302561;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:10:10,838;5302561;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:15:10,173;5302562;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:15:16,396;5302562;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:20:01,582;5302563;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:20:15,732;5302563;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:25:00,919;5302564;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:25:07,140;5302564;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:30:06,478;5302565;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:30:12,696;5302565;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:35:12,039;5302566;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:35:18,253;5302566;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:40:03,441;5302567;0.0;0.0;0.0;0;0;0;0;0
